treatment,richness,composition,mean_divergence,temperature,nutrients,species,replicate,sample_ID
Tmp_18_21_Nut3,3,CDL,0.00506307182263295,18-21 ,3,Colp_Dexio_Loxo,3,CDL_Tmp_18_21_Nut3_3
Tmp_18_21_Nut3,3,DLP,0.494219811299362,18-21 ,3,Dexio_Loxo_Para,1,DLP_Tmp_18_21_Nut3_1
Tmp_18_21_Nut3,3,DLP,0.494219811299362,18-21 ,3,Dexio_Loxo_Para,2,DLP_Tmp_18_21_Nut3_2
Tmp_18_21_Nut3,3,DLP,0.494219811299362,18-21 ,3,Dexio_Loxo_Para,3,DLP_Tmp_18_21_Nut3_3
Tmp_18_21_Nut3,3,LPS,0.689080993280309,18-21 ,3,Loxo_Para_Spiro,1,LPS_Tmp_18_21_Nut3_1
Tmp_18_21_Nut3,3,LPS,0.689080993280309,18-21 ,3,Loxo_Para_Spiro,2,LPS_Tmp_18_21_Nut3_2
Tmp_18_21_Nut3,3,LPS,0.689080993280309,18-21 ,3,Loxo_Para_Spiro,3,LPS_Tmp_18_21_Nut3_3
Tmp_18_21_Nut3,4,CDLP,0.494219811299362,18-21 ,3,Colp_Dexio_Loxo_Para,1,CDLP_Tmp_18_21_Nut3_1
Tmp_18_21_Nut3,4,CDLP,0.494219811299362,18-21 ,3,Colp_Dexio_Loxo_Para,2,CDLP_Tmp_18_21_Nut3_2
Tmp_18_21_Nut3,4,CDLP,0.494219811299362,18-21 ,3,Colp_Dexio_Loxo_Para,3,CDLP_Tmp_18_21_Nut3_3
Tmp_18_21_Nut3,4,CDPS,0.626673881737897,18-21 ,3,Colp_Dexio_Para_Spiro,1,CDPS_Tmp_18_21_Nut3_1
Tmp_18_21_Nut3,4,CDPS,0.626673881737897,18-21 ,3,Colp_Dexio_Para_Spiro,2,CDPS_Tmp_18_21_Nut3_2
Tmp_18_21_Nut3,4,CDPS,0.626673881737897,18-21 ,3,Colp_Dexio_Para_Spiro,3,CDPS_Tmp_18_21_Nut3_3
Tmp_18_21_Nut3,4,CLPS,0.689080993280309,18-21 ,3,Colp_Loxo_Para_Spiro,1,CLPS_Tmp_18_21_Nut3_1
Tmp_18_21_Nut3,4,CLPS,0.689080993280309,18-21 ,3,Colp_Loxo_Para_Spiro,2,CLPS_Tmp_18_21_Nut3_2
Tmp_18_21_Nut3,4,CLPS,0.689080993280309,18-21 ,3,Colp_Loxo_Para_Spiro,3,CLPS_Tmp_18_21_Nut3_3
Tmp_22_25_Nut0.01,2,CP,0,22-25 ,0.01,Colp_Para,1,CP_Tmp_22_25_Nut0.01_1
Tmp_22_25_Nut0.01,2,CP,0,22-25 ,0.01,Colp_Para,2,CP_Tmp_22_25_Nut0.01_2
Tmp_22_25_Nut0.01,2,CP,0,22-25 ,0.01,Colp_Para,3,CP_Tmp_22_25_Nut0.01_3
Tmp_22_25_Nut0.01,2,CS,0.228658015191063,22-25 ,0.01,Colp_Spiro,1,CS_Tmp_22_25_Nut0.01_1
Tmp_22_25_Nut0.01,2,CS,0.228658015191063,22-25 ,0.01,Colp_Spiro,2,CS_Tmp_22_25_Nut0.01_2
Tmp_22_25_Nut0.01,2,CS,0.228658015191063,22-25 ,0.01,Colp_Spiro,3,CS_Tmp_22_25_Nut0.01_3
Tmp_22_25_Nut0.01,2,DS,0.680300518408035,22-25 ,0.01,Dexio_Spiro,1,DS_Tmp_22_25_Nut0.01_1
Tmp_22_25_Nut0.01,2,DS,0.680300518408035,22-25 ,0.01,Dexio_Spiro,2,DS_Tmp_22_25_Nut0.01_2
Tmp_22_25_Nut0.01,2,DS,0.680300518408035,22-25 ,0.01,Dexio_Spiro,3,DS_Tmp_22_25_Nut0.01_3
Tmp_22_25_Nut0.01,3,CDP,0.0485453883212736,22-25 ,0.01,Colp_Dexio_Para,1,CDP_Tmp_22_25_Nut0.01_1
Tmp_22_25_Nut0.01,3,CDP,0.0485453883212736,22-25 ,0.01,Colp_Dexio_Para,2,CDP_Tmp_22_25_Nut0.01_2
Tmp_22_25_Nut0.01,3,CDP,0.0485453883212736,22-25 ,0.01,Colp_Dexio_Para,3,CDP_Tmp_22_25_Nut0.01_3
Tmp_22_25_Nut0.01,3,DLS,0.399603457823907,22-25 ,0.01,Dexio_Loxo_Spiro,1,DLS_Tmp_22_25_Nut0.01_1
Tmp_22_25_Nut0.01,3,DLS,0.399603457823907,22-25 ,0.01,Dexio_Loxo_Spiro,2,DLS_Tmp_22_25_Nut0.01_2
Tmp_22_25_Nut0.01,3,DLS,0.399603457823907,22-25 ,0.01,Dexio_Loxo_Spiro,3,DLS_Tmp_22_25_Nut0.01_3
Tmp_22_25_Nut0.01,3,CDL,0.51775655340041,22-25 ,0.01,Colp_Dexio_Loxo,1,CDL_Tmp_22_25_Nut0.01_1
Tmp_22_25_Nut0.01,3,CDL,0.51775655340041,22-25 ,0.01,Colp_Dexio_Loxo,2,CDL_Tmp_22_25_Nut0.01_2
Tmp_22_25_Nut0.01,3,CDL,0.51775655340041,22-25 ,0.01,Colp_Dexio_Loxo,3,CDL_Tmp_22_25_Nut0.01_3
Tmp_22_25_Nut0.01,4,CDPS,0.260369961251421,22-25 ,0.01,Colp_Dexio_Para_Spiro,1,CDPS_Tmp_22_25_Nut0.01_1
Tmp_22_25_Nut0.01,4,CDPS,0.260369961251421,22-25 ,0.01,Colp_Dexio_Para_Spiro,2,CDPS_Tmp_22_25_Nut0.01_2
Tmp_22_25_Nut0.01,4,CDPS,0.260369961251421,22-25 ,0.01,Colp_Dexio_Para_Spiro,3,CDPS_Tmp_22_25_Nut0.01_3
Tmp_22_25_Nut0.01,4,CLPS,0.450631560319032,22-25 ,0.01,Colp_Loxo_Para_Spiro,1,CLPS_Tmp_22_25_Nut0.01_1
Tmp_22_25_Nut0.01,4,CLPS,0.450631560319032,22-25 ,0.01,Colp_Loxo_Para_Spiro,2,CLPS_Tmp_22_25_Nut0.01_2
Tmp_22_25_Nut0.01,4,CLPS,0.450631560319032,22-25 ,0.01,Colp_Loxo_Para_Spiro,3,CLPS_Tmp_22_25_Nut0.01_3
Tmp_22_25_Nut0.01,4,CDLS,0.51775655340041,22-25 ,0.01,Colp_Dexio_Loxo_Spiro,1,CDLS_Tmp_22_25_Nut0.01_1
Tmp_22_25_Nut0.01,4,CDLS,0.51775655340041,22-25 ,0.01,Colp_Dexio_Loxo_Spiro,2,CDLS_Tmp_22_25_Nut0.01_2
