"","time","treatment","temperature","nutrients","dissimilarity","divergence","species","composition","richness"
"101",12,"Tmp_18_21_Nut0.35",21,0.35,1.0001547336875,0,"Colpidium_Dexiostoma","CD",2
"102",12,"Tmp_18_21_Nut0.75",21,0.75,1.03810052123078,0.349737322756287,"Colpidium_Dexiostoma","CD",2
"103",12,"Tmp_22_25_Nut0.01",25,0.01,1.13817141995113,0,"Colpidium_Dexiostoma","CD",2
"104",12,"Tmp_22_25_Nut0.35",25,0.35,1.18089853310021,0,"Colpidium_Dexiostoma","CD",2
"105",12,"Tmp_22_25_Nut0.75",25,0.75,1.18015578390679,0,"Colpidium_Dexiostoma","CD",2
"106",12,"Tmp_25_28_Nut0.01",28,0.01,1.34277781286043,0.105937093963551,"Colpidium_Dexiostoma","CD",2
"107",12,"Tmp_25_28_Nut0.35",28,0.35,1.57777755300696,0,"Colpidium_Dexiostoma","CD",2
"108",12,"Tmp_25_28_Nut0.75",28,0.75,1.81778603095911,0,"Colpidium_Dexiostoma","CD",2
"109",13,"Tmp_18_21_Nut0.01",18,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"110",13,"Tmp_18_21_Nut0.35",18,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"111",13,"Tmp_18_21_Nut0.75",18,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"112",13,"Tmp_22_25_Nut0.01",22,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"113",13,"Tmp_22_25_Nut0.35",22,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"114",13,"Tmp_22_25_Nut0.75",22,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"115",13,"Tmp_25_28_Nut0.01",25,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"116",13,"Tmp_25_28_Nut0.35",25,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"117",13,"Tmp_25_28_Nut0.75",25,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"118",14,"Tmp_18_21_Nut0.01",18,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"119",14,"Tmp_18_21_Nut0.35",18,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"120",14,"Tmp_18_21_Nut0.75",18,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"121",14,"Tmp_22_25_Nut0.01",22,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"122",14,"Tmp_22_25_Nut0.35",22,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"123",14,"Tmp_22_25_Nut0.75",22,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"124",14,"Tmp_25_28_Nut0.01",25,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"125",14,"Tmp_25_28_Nut0.35",25,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"126",14,"Tmp_25_28_Nut0.75",25,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"127",15,"Tmp_18_21_Nut0.01",18,0.01,1.00351719913579,0,"Colpidium_Dexiostoma","CD",2
"128",15,"Tmp_18_21_Nut0.35",18,0.35,1.00680877423717,0.569044455997606,"Colpidium_Dexiostoma","CD",2
"129",15,"Tmp_18_21_Nut0.75",18,0.75,1.0121806065558,0,"Colpidium_Dexiostoma","CD",2
"130",15,"Tmp_22_25_Nut0.01",22,0.01,1.09898387600416,0,"Colpidium_Dexiostoma","CD",2
"131",15,"Tmp_22_25_Nut0.35",22,0.35,1.01213402898927,0,"Colpidium_Dexiostoma","CD",2
"132",15,"Tmp_22_25_Nut0.75",22,0.75,1.0443765575642,0.135134596819338,"Colpidium_Dexiostoma","CD",2
"133",15,"Tmp_25_28_Nut0.01",25,0.01,1.13817141995113,0,"Colpidium_Dexiostoma","CD",2
"134",15,"Tmp_25_28_Nut0.35",25,0.35,1.18089853310021,0,"Colpidium_Dexiostoma","CD",2
"135",15,"Tmp_25_28_Nut0.75",25,0.75,1.18015578390679,0,"Colpidium_Dexiostoma","CD",2
"136",16,"Tmp_18_21_Nut0.01",21,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"137",16,"Tmp_18_21_Nut0.35",21,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"138",16,"Tmp_18_21_Nut0.75",21,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"139",16,"Tmp_22_25_Nut0.01",25,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"140",16,"Tmp_22_25_Nut0.35",25,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"141",16,"Tmp_22_25_Nut0.75",25,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"142",16,"Tmp_25_28_Nut0.01",28,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"143",16,"Tmp_25_28_Nut0.35",28,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"144",16,"Tmp_25_28_Nut0.75",28,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"145",17,"Tmp_18_21_Nut0.01",21,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"146",17,"Tmp_18_21_Nut0.35",21,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"147",17,"Tmp_18_21_Nut0.75",21,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"148",17,"Tmp_22_25_Nut0.01",25,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"149",17,"Tmp_22_25_Nut0.35",25,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"150",17,"Tmp_22_25_Nut0.75",25,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"151",17,"Tmp_25_28_Nut0.01",28,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"152",17,"Tmp_25_28_Nut0.35",28,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"153",17,"Tmp_25_28_Nut0.75",28,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"154",18,"Tmp_18_21_Nut0.01",21,0.01,1.05816577510297,0,"Colpidium_Dexiostoma","CD",2
"155",18,"Tmp_18_21_Nut0.35",21,0.35,1.0001547336875,0,"Colpidium_Dexiostoma","CD",2
